tiempo,distancia,setpoint,error,pwm,accion,recompensa,epsilon
107.969,5.00,15.00,-10.00,275,0,-14.67,0.20
108.206,4.87,15.00,-10.13,410,2,-14.80,0.20
108.442,4.68,15.00,-10.32,330,1,-25.00,0.20
108.679,4.13,15.00,-10.87,275,0,-25.00,0.20
108.917,5.53,15.00,-9.47,750,5,-12.51,0.20
109.154,7.27,15.00,-7.73,275,0,-11.02,0.20
109.391,7.42,15.00,-7.58,490,3,-13.20,0.20
109.628,5.39,15.00,-9.61,600,4,-14.64,0.20
109.865,4.71,15.00,-10.29,750,5,-25.00,0.20
110.101,4.57,15.00,-10.43,410,2,-25.00,0.20
110.338,4.29,15.00,-10.71,490,3,-25.00,0.20
110.575,4.72,15.00,-10.28,275,0,-25.00,0.20
110.811,4.10,15.00,-10.90,275,0,-25.00,0.20
111.050,4.37,15.00,-10.63,275,0,-25.00,0.20
111.287,4.65,15.00,-10.35,600,4,-14.28,0.20
111.525,6.70,15.00,-8.30,750,5,-12.24,0.20
111.762,6.43,15.00,-8.57,600,4,-13.42,0.20
111.999,6.13,15.00,-8.87,330,1,-13.87,0.20
112.236,5.92,15.00,-9.08,275,0,-12.49,0.20
112.473,7.62,15.00,-7.38,275,0,-11.28,0.20
112.710,7.05,15.00,-7.95,410,2,-13.27,0.20
112.948,6.54,15.00,-8.46,750,5,-11.21,0.20
113.185,7.25,15.00,-7.75,330,1,-12.56,0.20
113.422,6.53,15.00,-8.47,275,0,-12.93,0.20
113.659,5.76,15.00,-9.24,750,5,-14.62,0.20
113.896,5.65,15.00,-9.35,490,3,-13.35,0.20
114.133,6.75,15.00,-8.25,275,0,-12.19,0.20
114.371,6.96,15.00,-8.04,490,3,-11.59,0.20
114.608,7.27,15.00,-7.73,330,1,-11.65,0.20
114.846,6.95,15.00,-8.05,410,2,-11.85,0.20
115.082,6.19,15.00,-8.81,275,0,-14.30,0.20
115.320,6.14,15.00,-8.86,490,3,-11.38,0.20
115.558,7.59,15.00,-7.41,410,2,-11.44,0.20
115.794,7.77,15.00,-7.23,750,5,-12.77,0.20
116.032,6.85,15.00,-8.15,275,0,-11.83,0.20
116.269,6.45,15.00,-8.55,750,5,-13.52,0.20
116.506,6.08,15.00,-8.92,275,0,-14.04,0.20
116.743,5.33,15.00,-9.67,750,5,-14.18,0.20
116.979,4.93,15.00,-10.07,600,4,-25.00,0.20
117.216,4.20,15.00,-10.80,330,1,-25.00,0.20
117.453,4.14,15.00,-10.86,490,3,-25.00,0.20
117.691,3.98,15.00,-11.02,410,2,-25.00,0.20
117.928,4.22,15.00,-10.78,275,0,-14.03,0.20
118.165,4.87,15.00,-10.13,490,3,-13.21,0.20
118.401,5.25,15.00,-9.75,490,3,-25.00,0.20
118.638,4.81,15.00,-10.19,275,0,-25.00,0.20
118.875,4.43,15.00,-10.57,600,4,-25.00,0.20
119.146,4.19,15.00,-10.81,750,5,-12.54,0.20
119.384,7.77,15.00,-7.23,600,4,-10.86,0.20
119.621,6.90,15.00,-8.10,275,0,-12.03,0.20
119.858,5.94,15.00,-9.06,750,5,-12.35,0.20
120.095,7.35,15.00,-7.65,490,3,-12.71,0.20
120.332,5.87,15.00,-9.13,490,3,-12.16,0.20
120.569,6.64,15.00,-8.36,750,5,-12.69,0.20
120.805,5.63,15.00,-9.37,750,5,-14.52,0.20
121.042,4.78,15.00,-10.22,330,1,-14.78,0.20
121.279,5.84,15.00,-9.16,490,3,-13.65,0.20
121.517,5.93,15.00,-9.07,490,3,-12.35,0.20
121.754,6.04,15.00,-8.96,600,4,-11.86,0.20
