tiempo,distancia,setpoint,error,derivada,integral,delta_pwm,pwm
81.291,17.19,15.00,2.19,7.65,-29.04,-0.40,265.00
81.310,16.86,15.00,1.86,-2.36,-28.94,-2.89,265.00
81.330,16.86,15.00,1.86,-1.41,-28.85,-2.88,265.00
81.349,16.56,15.00,1.56,-7.16,-28.76,-3.38,265.00
81.368,16.56,15.00,1.56,-4.30,-28.67,-2.87,265.00
81.387,16.56,15.00,1.56,-2.58,-28.59,-2.86,265.00
81.406,16.56,15.00,1.56,-1.55,-28.50,-2.85,265.00
81.425,16.56,15.00,1.56,-0.93,-28.41,-2.84,265.00
81.445,17.19,15.00,2.19,12.04,-28.31,-0.33,265.00
81.464,17.82,15.00,2.82,20.49,-28.20,3.18,268.18
81.484,17.83,15.00,2.83,12.49,-28.09,-0.31,267.87
81.503,18.14,15.00,3.14,14.02,-27.97,-0.30,267.57
81.522,18.14,15.00,3.14,8.41,-27.86,-0.29,267.29
81.541,18.14,15.00,3.14,5.05,-27.74,-0.27,267.01
81.561,18.14,15.00,3.14,3.03,-27.63,-1.96,265.05
81.580,18.14,15.00,3.14,1.82,-27.51,-1.95,265.00
81.599,18.14,15.00,3.14,1.09,-27.40,-1.94,265.00
81.618,18.14,15.00,3.14,0.65,-27.28,-1.93,265.00
81.637,17.51,15.00,2.51,-12.87,-27.18,-3.22,265.00
81.657,17.19,15.00,2.19,-14.12,-27.08,-3.21,265.00
81.676,17.19,15.00,2.19,-8.47,-26.99,-3.20,265.00
81.695,17.19,15.00,2.19,-5.08,-26.89,-2.69,265.00
81.714,16.56,15.00,1.56,-16.31,-26.81,-3.18,265.00
81.733,16.56,15.00,1.56,-9.79,-26.72,-3.17,265.00
81.752,16.24,15.00,1.24,-12.61,-26.65,-3.16,265.00
81.771,16.24,15.00,1.24,-7.57,-26.57,-3.16,265.00
81.791,16.22,15.00,1.22,-4.94,-26.49,-2.65,265.00
81.810,15.91,15.00,0.91,-9.49,-26.42,-3.14,265.00
81.829,15.61,15.00,0.61,-12.01,-26.36,-3.14,265.00
81.848,14.91,15.00,-0.09,-21.94,-26.31,-4.13,265.00
81.867,14.59,15.00,-0.41,-19.90,-26.26,-4.13,265.00
81.887,13.92,15.00,-1.08,-25.34,-26.23,-4.12,265.00
81.906,13.91,15.00,-1.09,-15.42,-26.20,-3.12,265.00
81.925,13.24,15.00,-1.76,-23.35,-26.18,-4.12,265.00
81.944,13.24,15.00,-1.76,-14.01,-26.16,-3.12,265.00
81.963,12.60,15.00,-2.40,-21.88,-26.15,-5.62,265.00
