tiempo,distancia,setpoint,error,derivada,integral,delta_pwm,pwm
48.840,12.26,15.00,-2.74,-0.05,-19.60,-2.46,265.00
48.859,12.26,15.00,-2.74,-0.03,-19.61,-2.46,265.00
48.878,12.26,15.00,-2.74,-0.02,-19.63,-2.46,265.00
48.897,12.26,15.00,-2.74,-0.01,-19.64,-2.46,265.00
48.917,12.26,15.00,-2.74,-0.01,-19.65,-2.47,265.00
48.936,12.26,15.00,-2.74,-0.00,-19.67,-2.47,265.00
48.955,12.26,15.00,-2.74,-0.00,-19.68,-2.47,265.00
48.974,12.26,15.00,-2.74,-0.00,-19.69,-2.47,265.00
48.993,12.26,15.00,-2.74,-0.00,-19.71,-2.47,265.00
49.012,12.26,15.00,-2.74,-0.00,-19.72,-2.47,265.00
49.031,12.26,15.00,-2.74,-0.00,-19.73,-2.47,265.00
49.051,12.58,15.00,-2.42,6.40,-19.74,-1.17,265.00
49.070,12.60,15.00,-2.40,4.26,-19.74,-1.63,265.00
49.089,12.60,15.00,-2.40,2.56,-19.75,-1.98,265.00
49.108,12.58,15.00,-2.42,1.11,-19.76,-2.17,265.00
49.129,12.58,15.00,-2.42,0.67,-19.77,-2.22,265.00
49.148,12.26,15.00,-2.74,-6.34,-19.78,-3.48,265.00
49.167,12.26,15.00,-2.74,-3.80,-19.79,-2.68,265.00
49.186,12.26,15.00,-2.74,-2.28,-19.81,-2.48,265.00
49.205,12.26,15.00,-2.74,-1.37,-19.82,-2.48,265.00
49.224,12.26,15.00,-2.74,-0.82,-19.83,-2.48,265.00
49.243,12.92,15.00,-2.08,13.40,-19.83,-0.52,265.00
49.262,12.92,15.00,-2.08,8.04,-19.83,-1.18,265.00
49.281,12.92,15.00,-2.08,4.82,-19.83,-1.58,265.00
49.300,12.92,15.00,-2.08,2.89,-19.83,-1.98,265.00
49.320,12.92,15.00,-2.08,1.74,-19.83,-1.98,265.00
49.339,12.92,15.00,-2.08,1.04,-19.83,-2.09,265.00
49.358,12.92,15.00,-2.08,0.63,-19.83,-2.09,265.00
49.377,13.58,15.00,-1.42,14.27,-19.82,-0.74,265.00
49.397,13.58,15.00,-1.42,8.56,-19.81,-1.18,265.00
49.416,13.58,15.00,-1.42,5.14,-19.79,-1.54,265.00
49.435,13.58,15.00,-1.42,3.08,-19.78,-1.96,265.00
49.454,13.58,15.00,-1.42,1.85,-19.77,-1.98,265.00
49.473,13.58,15.00,-1.42,1.11,-19.76,-1.98,265.00
49.492,13.58,15.00,-1.42,0.67,-19.74,-1.97,265.00
49.511,13.24,15.00,-1.76,-6.76,-19.74,-2.62,265.00
49.530,13.24,15.00,-1.76,-4.06,-19.73,-2.58,265.00
49.550,13.24,15.00,-1.76,-2.43,-19.73,-2.47,265.00
49.569,14.25,15.00,-0.75,19.80,-19.70,0.44,265.44
49.588,14.25,15.00,-0.75,11.88,-19.68,-0.90,265.00
49.607,14.25,15.00,-0.75,7.13,-19.65,-1.17,265.00
49.626,13.92,15.00,-1.08,-2.67,-19.63,-2.46,265.00
49.645,13.92,15.00,-1.08,-1.60,-19.61,-2.46,265.00
49.665,13.92,15.00,-1.08,-0.96,-19.60,-2.20,265.00
49.685,13.60,15.00,-1.40,-6.98,-19.59,-2.46,265.00
49.704,13.60,15.00,-1.40,-4.19,-19.57,-2.46,265.00
49.723,13.58,15.00,-1.42,-2.93,-19.56,-2.46,265.00
49.742,13.58,15.00,-1.42,-1.76,-19.55,-2.45,265.00
49.761,13.60,15.00,-1.40,-0.63,-19.54,-2.09,265.00
49.780,13.58,15.00,-1.42,-0.80,-19.52,-2.13,265.00
49.799,13.60,15.00,-1.40,-0.06,-19.51,-1.97,265.00
49.818,13.60,15.00,-1.40,-0.04,-19.50,-1.96,265.00
49.837,14.57,15.00,-0.43,20.40,-19.47,0.55,265.55
49.856,14.57,15.00,-0.43,12.24,-19.44,-0.89,265.00
49.875,14.57,15.00,-0.43,7.34,-19.41,-1.14,265.00
49.895,14.26,15.00,-0.74,-1.79,-19.38,-2.29,265.00
49.915,14.57,15.00,-0.43,5.12,-19.35,-1.50,265.00
49.935,14.59,15.00,-0.41,3.47,-19.32,-1.83,265.00
49.954,14.59,15.00,-0.41,2.08,-19.29,-1.93,265.00
49.973,14.91,15.00,-0.09,7.99,-19.25,-1.13,265.00
49.992,14.91,15.00,-0.09,4.79,-19.22,-1.57,265.00
50.011,14.91,15.00,-0.09,2.88,-19.18,-1.92,265.00
50.030,14.91,15.00,-0.09,1.73,-19.14,-1.91,265.00
50.049,14.91,15.00,-0.09,1.04,-19.11,-1.91,265.00
50.068,14.91,15.00,-0.09,0.62,-19.07,-1.91,265.00
50.087,14.93,15.00,-0.07,0.79,-19.03,-1.90,265.00
50.106,14.93,15.00,-0.07,0.48,-19.00,-1.90,265.00
50.125,14.93,15.00,-0.07,0.29,-18.96,-1.90,265.00
50.144,15.25,15.00,0.25,6.91,-18.92,-1.09,265.00
50.163,15.25,15.00,0.25,4.14,-18.87,-1.46,265.00
50.182,15.25,15.00,0.25,2.49,-18.83,-1.62,265.00
50.201,15.91,15.00,0.91,15.39,-18.78,-0.43,265.00
50.220,15.91,15.00,0.91,9.23,-18.72,-1.07,265.00
50.239,15.91,15.00,0.91,5.54,-18.67,-1.16,265.00
50.258,15.91,15.00,0.91,3.32,-18.61,-1.14,265.00
50.277,15.91,15.00,0.91,1.99,-18.56,-1.15,265.00
50.296,16.24,15.00,1.24,8.14,-18.50,-1.05,265.00
50.315,16.24,15.00,1.24,4.89,-18.44,-1.04,265.00
50.334,16.24,15.00,1.24,2.93,-18.38,-1.04,265.00
50.354,16.24,15.00,1.24,1.76,-18.32,-1.03,265.00
50.373,16.24,15.00,1.24,1.06,-18.26,-1.39,265.00
50.393,16.24,15.00,1.24,0.63,-18.19,-1.61,265.00
50.412,16.24,15.00,1.24,0.38,-18.13,-1.69,265.00
50.431,16.24,15.00,1.24,0.23,-18.07,-1.73,265.00
50.450,16.56,15.00,1.56,6.87,-18.01,-0.93,265.00
50.470,16.56,15.00,1.56,4.12,-17.94,-0.94,265.00
50.490,16.56,15.00,1.56,2.47,-17.87,-0.99,265.00
50.510,17.19,15.00,2.19,14.08,-17.80,1.04,266.04
50.529,17.19,15.00,2.19,8.45,-17.72,0.04,266.09
50.548,17.19,15.00,2.19,5.07,-17.64,-0.46,265.63
50.567,17.19,15.00,2.19,3.04,-17.56,-0.93,265.00
50.586,17.19,15.00,2.19,1.83,-17.49,-0.95,265.00
50.605,16.24,15.00,1.24,-18.90,-17.43,-3.06,265.00
50.624,16.24,15.00,1.24,-11.34,-17.37,-2.32,265.00
50.643,16.24,15.00,1.24,-6.81,-17.31,-2.23,265.00
50.662,16.24,15.00,1.24,-4.08,-17.25,-1.82,265.00
50.681,16.56,15.00,1.56,4.29,-17.19,-0.87,265.00
50.700,16.86,15.00,1.86,8.89,-17.12,-0.45,265.00
50.719,16.86,15.00,1.86,5.33,-17.05,-0.61,265.00
50.738,16.86,15.00,1.86,3.20,-16.98,-0.81,265.00
50.757,16.88,15.00,1.88,2.34,-16.91,-0.89,265.00
50.776,16.88,15.00,1.88,1.40,-16.84,-0.96,265.00
50.795,16.86,15.00,1.86,0.42,-16.77,-1.27,265.00
50.814,16.86,15.00,1.86,0.25,-16.71,-1.32,265.00
50.834,16.88,15.00,1.88,0.55,-16.63,-1.22,265.00
50.853,16.88,15.00,1.88,0.33,-16.57,-1.27,265.00
