tiempo,distancia,setpoint,error,derivada,integral,delta_pwm,pwm
50.195,13.58,15.00,-1.42,0.00,-12.74,-1.27,265.00
50.215,13.26,15.00,-1.74,-6.40,-12.75,-1.78,265.00
50.234,13.26,15.00,-1.74,-3.84,-12.76,-1.78,265.00
50.254,13.26,15.00,-1.74,-2.30,-12.77,-1.78,265.00
50.273,13.26,15.00,-1.74,-1.38,-12.77,-1.78,265.00
50.293,13.26,15.00,-1.74,-0.83,-12.78,-1.28,265.00
50.312,13.26,15.00,-1.74,-0.50,-12.79,-1.28,265.00
50.331,13.26,15.00,-1.74,-0.30,-12.80,-1.28,265.00
50.350,13.58,15.00,-1.42,6.56,-12.80,-0.48,265.00
50.370,13.58,15.00,-1.42,3.93,-12.80,-1.28,265.00
50.389,13.58,15.00,-1.42,2.36,-12.80,-1.28,265.00
50.408,13.58,15.00,-1.42,1.42,-12.81,-1.28,265.00
50.428,13.58,15.00,-1.42,0.85,-12.81,-1.28,265.00
50.447,13.58,15.00,-1.42,0.51,-12.81,-1.28,265.00
50.466,12.60,15.00,-2.40,-20.33,-12.83,-4.28,265.00
50.485,12.60,15.00,-2.40,-12.20,-12.85,-2.78,265.00
50.504,12.58,15.00,-2.42,-7.74,-12.87,-2.79,265.00
50.523,12.58,15.00,-2.42,-4.64,-12.89,-1.79,265.00
50.542,12.60,15.00,-2.40,-2.36,-12.91,-1.79,265.00
50.561,12.60,15.00,-2.40,-1.42,-12.93,-1.79,265.00
50.580,12.92,15.00,-2.08,5.89,-12.94,-0.49,265.00
50.599,12.92,15.00,-2.08,3.53,-12.96,-1.30,265.00
50.618,12.92,15.00,-2.08,2.12,-12.97,-1.30,265.00
50.637,12.94,15.00,-2.06,1.69,-12.98,-1.30,265.00
50.657,12.94,15.00,-2.06,1.02,-13.00,-1.30,265.00
50.676,13.26,15.00,-1.74,7.35,-13.00,-0.50,265.00
50.695,13.26,15.00,-1.74,4.41,-13.01,-1.30,265.00
50.714,13.26,15.00,-1.74,2.64,-13.02,-1.30,265.00
50.733,13.26,15.00,-1.74,1.59,-13.03,-1.30,265.00
50.752,13.26,15.00,-1.74,0.95,-13.03,-1.30,265.00
50.771,13.26,15.00,-1.74,0.57,-13.04,-1.30,265.00
50.790,13.26,15.00,-1.74,0.34,-13.05,-1.30,265.00
50.809,13.26,15.00,-1.74,0.21,-13.05,-1.31,265.00
50.829,13.26,15.00,-1.74,0.12,-13.06,-1.31,265.00
50.848,13.26,15.00,-1.74,0.07,-13.07,-1.31,265.00
50.867,13.26,15.00,-1.74,0.04,-13.08,-1.31,265.00
50.886,13.24,15.00,-1.76,-0.39,-13.08,-1.31,265.00
50.905,13.24,15.00,-1.76,-0.24,-13.09,-1.31,265.00
50.924,13.24,15.00,-1.76,-0.14,-13.10,-1.31,265.00
50.943,12.94,15.00,-2.06,-6.40,-13.11,-1.81,265.00
50.962,12.92,15.00,-2.08,-4.26,-13.12,-1.81,265.00
50.981,12.92,15.00,-2.08,-2.56,-13.14,-1.81,265.00
51.000,12.94,15.00,-2.06,-1.11,-13.15,-1.81,265.00
51.019,13.60,15.00,-1.40,13.23,-13.15,-0.51,265.00
51.038,13.60,15.00,-1.40,7.94,-13.15,-0.51,265.00
51.058,13.58,15.00,-1.42,4.36,-13.15,-1.32,265.00
51.077,13.58,15.00,-1.42,2.62,-13.15,-1.32,265.00
51.096,13.60,15.00,-1.40,1.99,-13.15,-1.32,265.00
51.116,13.60,15.00,-1.40,1.19,-13.15,-1.32,265.00
51.135,13.60,15.00,-1.40,0.72,-13.15,-1.32,265.00
51.154,13.92,15.00,-1.08,7.17,-13.15,-0.51,265.00
51.173,13.92,15.00,-1.08,4.30,-13.14,-1.31,265.00
51.192,13.92,15.00,-1.08,2.58,-13.14,-1.31,265.00
51.211,13.92,15.00,-1.08,1.55,-13.13,-1.31,265.00
51.230,13.92,15.00,-1.08,0.93,-13.13,-1.31,265.00
51.250,13.92,15.00,-1.08,0.56,-13.12,-1.31,265.00
51.269,13.92,15.00,-1.08,0.33,-13.11,-1.31,265.00
51.288,13.92,15.00,-1.08,0.20,-13.11,-1.31,265.00
51.308,13.92,15.00,-1.08,0.12,-13.10,-1.31,265.00
51.327,13.58,15.00,-1.42,-7.09,-13.11,-1.81,265.00
51.346,13.58,15.00,-1.42,-4.25,-13.11,-1.81,265.00
51.366,13.58,15.00,-1.42,-2.55,-13.11,-1.81,265.00
51.385,13.58,15.00,-1.42,-1.53,-13.11,-1.81,265.00
51.404,14.57,15.00,-0.43,19.92,-13.09,1.19,266.19
51.423,14.57,15.00,-0.43,11.95,-13.07,-0.51,265.68
51.442,14.57,15.00,-0.43,7.17,-13.05,-0.51,265.18
51.461,14.57,15.00,-0.43,4.30,-13.04,-1.30,265.00
51.480,14.57,15.00,-0.43,2.58,-13.02,-1.30,265.00
51.499,14.57,15.00,-0.43,1.55,-13.00,-1.30,265.00
51.519,14.26,15.00,-0.74,-5.27,-12.99,-1.80,265.00
51.538,14.25,15.00,-0.75,-3.37,-12.98,-1.80,265.00
51.557,14.25,15.00,-0.75,-2.02,-12.97,-1.80,265.00
51.576,13.92,15.00,-1.08,-8.16,-12.96,-1.80,265.00
51.595,13.92,15.00,-1.08,-4.90,-12.96,-1.80,265.00
51.614,13.92,15.00,-1.08,-2.94,-12.95,-1.79,265.00
51.633,13.92,15.00,-1.08,-1.76,-12.94,-1.79,265.00
51.652,13.92,15.00,-1.08,-1.06,-12.94,-1.79,265.00
51.671,14.25,15.00,-0.75,6.31,-12.93,-0.49,265.00
51.690,14.25,15.00,-0.75,3.79,-12.92,-1.29,265.00
51.709,14.25,15.00,-0.75,2.27,-12.90,-1.29,265.00
51.728,14.25,15.00,-0.75,1.36,-12.89,-1.29,265.00
51.748,13.92,15.00,-1.08,-5.78,-12.89,-1.79,265.00
51.767,13.92,15.00,-1.08,-3.47,-12.88,-1.79,265.00
51.786,13.92,15.00,-1.08,-2.08,-12.88,-1.79,265.00
51.805,13.92,15.00,-1.08,-1.25,-12.87,-1.79,265.00
51.825,14.91,15.00,-0.09,19.05,-12.85,1.22,266.22
51.844,14.91,15.00,-0.09,11.43,-12.82,-0.48,265.73
51.864,14.91,15.00,-0.09,6.86,-12.80,-0.48,265.25
51.883,14.93,15.00,-0.07,4.54,-12.78,-1.28,265.00
51.902,15.25,15.00,0.25,9.46,-12.75,-0.47,265.00
51.921,15.59,15.00,0.59,12.83,-12.71,-0.47,265.00
51.941,15.59,15.00,0.59,7.70,-12.67,-0.47,265.00
51.960,15.59,15.00,0.59,4.62,-12.64,-0.46,265.00
51.980,15.91,15.00,0.91,9.17,-12.59,-0.46,265.00
51.999,15.91,15.00,0.91,5.50,-12.55,-0.45,265.00
52.019,16.24,15.00,1.24,9.90,-12.50,-0.45,265.00
52.038,16.24,15.00,1.24,5.94,-12.45,-0.45,265.00
52.057,16.24,15.00,1.24,3.56,-12.40,-0.44,265.00
52.076,16.24,15.00,1.24,2.14,-12.35,-0.44,265.00
52.095,16.24,15.00,1.24,1.28,-12.31,-0.43,265.00
52.115,16.54,15.00,1.54,6.77,-12.25,-0.43,265.00
52.134,16.24,15.00,1.24,-2.25,-12.20,-1.22,265.00
52.154,16.56,15.00,1.56,5.05,-12.15,-0.41,265.00
52.173,16.86,15.00,1.86,9.34,-12.09,-0.41,265.00
52.192,16.88,15.00,1.88,6.03,-12.03,-0.40,265.00
52.211,17.19,15.00,2.19,10.14,-11.96,1.30,266.30
52.231,17.19,15.00,2.19,6.09,-11.90,1.31,267.61
52.250,17.19,15.00,2.19,3.65,-11.83,-0.38,267.23
52.269,17.19,15.00,2.19,2.19,-11.76,-0.38,266.85
52.288,16.88,15.00,1.88,-5.21,-11.71,-1.67,265.18
52.308,16.86,15.00,1.86,-3.53,-11.64,-1.16,265.00
52.327,16.54,15.00,1.54,-8.85,-11.59,-1.66,265.00
52.346,16.54,15.00,1.54,-5.31,-11.54,-1.65,265.00
52.365,16.54,15.00,1.54,-3.19,-11.49,-1.15,265.00
52.384,16.54,15.00,1.54,-1.91,-11.44,-1.14,265.00
52.404,16.54,15.00,1.54,-1.15,-11.38,-1.14,265.00
52.423,16.56,15.00,1.56,-0.27,-11.33,-1.13,265.00
52.442,16.56,15.00,1.56,-0.16,-11.28,-1.13,265.00
52.462,16.86,15.00,1.86,5.90,-11.22,-0.32,265.00
52.481,16.86,15.00,1.86,3.54,-11.16,-0.32,265.00
52.500,17.19,15.00,2.19,9.07,-11.10,1.39,266.39
52.520,17.51,15.00,2.51,11.84,-11.02,1.40,267.79
52.540,17.51,15.00,2.51,7.11,-10.95,1.40,269.19
52.559,17.83,15.00,2.83,11.00,-10.88,1.41,270.61
52.578,17.83,15.00,2.83,6.60,-10.80,1.42,272.03
52.598,18.14,15.00,3.14,10.16,-10.72,1.43,273.45
52.617,17.83,15.00,2.83,-0.43,-10.64,-0.26,273.19
52.636,18.14,15.00,3.14,6.27,-10.56,1.44,274.63
52.655,18.14,15.00,3.14,3.76,-10.48,-0.25,274.39
52.674,18.14,15.00,3.14,2.26,-10.40,-0.24,274.15
52.693,18.45,15.00,3.45,7.88,-10.31,1.47,275.61
52.712,18.45,15.00,3.45,4.73,-10.23,-0.22,275.39
52.731,18.46,15.00,3.46,3.05,-10.14,-0.21,275.18
52.750,18.79,15.00,3.79,8.78,-10.05,1.50,276.67
52.769,19.09,15.00,4.09,11.58,-9.95,1.50,278.18
52.788,19.09,15.00,4.09,6.95,-9.85,1.51,279.69
52.808,19.09,15.00,4.09,4.17,-9.75,-0.18,279.52
52.827,19.11,15.00,4.11,2.92,-9.65,-0.17,279.35
52.846,19.43,15.00,4.43,8.49,-9.55,1.54,280.90
52.866,19.11,15.00,4.11,-1.31,-9.45,-0.95,279.95
52.885,19.43,15.00,4.43,5.95,-9.35,1.57,281.52
52.905,19.43,15.00,4.43,3.57,-9.24,-0.12,281.39
52.924,19.74,15.00,4.74,8.67,-9.13,1.59,282.98
52.943,19.43,15.00,4.43,-1.32,-9.03,-0.90,282.08
52.963,19.74,15.00,4.74,5.41,-8.92,1.61,283.68
52.982,19.75,15.00,4.75,3.45,-8.81,-0.08,283.60
53.002,20.06,15.00,5.06,8.27,-8.69,1.63,285.23
53.021,19.75,15.00,4.75,-1.56,-8.58,-0.86,284.38
53.040,20.08,15.00,5.08,6.01,-8.47,1.65,286.03
53.060,20.38,15.00,5.38,9.61,-8.35,5.17,291.19
53.079,20.38,15.00,5.38,5.76,-8.23,5.18,296.37
53.099,20.38,15.00,5.38,3.46,-8.10,1.69,298.06
53.118,20.38,15.00,5.38,2.07,-7.98,1.70,299.76
53.138,20.71,15.00,5.71,7.84,-7.85,5.21,304.98
53.157,21.01,15.00,6.01,11.02,-7.73,5.23,310.20
53.176,21.34,15.00,6.34,13.56,-7.59,5.24,315.45
53.195,21.64,15.00,6.64,14.45,-7.45,5.26,320.70
53.215,21.98,15.00,6.98,15.47,-7.29,5.27,325.97
53.235,21.98,15.00,6.98,9.28,-7.14,5.29,331.26
53.254,21.98,15.00,6.98,5.57,-6.99,5.30,336.56
53.273,22.29,15.00,7.29,9.87,-6.84,5.32,341.87
53.292,22.29,15.00,7.29,5.92,-6.69,5.33,347.21
53.312,22.58,15.00,7.58,9.35,-6.52,5.35,352.55
53.331,22.87,15.00,7.87,11.72,-6.36,5.36,357.92
53.350,22.87,15.00,7.87,7.03,-6.20,5.38,363.30
53.369,22.87,15.00,7.87,4.22,-6.04,1.90,365.19
53.389,23.17,15.00,8.17,8.53,-5.86,5.41,370.61
53.408,23.17,15.00,8.17,5.12,-5.70,5.43,376.04
53.428,23.17,15.00,8.17,3.07,-5.52,1.95,377.98
53.448,23.15,15.00,8.15,1.44,-5.35,1.97,379.95
53.467,23.73,15.00,8.73,13.08,-5.17,5.48,385.43
53.487,23.73,15.00,8.73,7.85,-4.99,5.50,390.93
53.507,23.73,15.00,8.73,4.71,-4.80,2.02,392.95
53.526,23.73,15.00,8.73,2.82,-4.63,2.04,394.99
53.546,24.31,15.00,9.31,13.29,-4.43,5.56,400.55
53.566,24.60,15.00,9.60,13.78,-4.23,5.58,406.12
53.585,24.60,15.00,9.60,8.27,-4.04,5.60,411.72
53.605,24.31,15.00,9.31,-0.84,-3.85,0.42,412.13
53.625,24.60,15.00,9.60,5.30,-3.65,5.64,417.77
53.644,24.60,15.00,9.60,3.18,-3.46,2.15,419.92
53.664,24.60,15.00,9.60,1.91,-3.26,2.17,422.10
53.684,24.02,15.00,9.02,-10.46,-3.07,-0.31,421.79
53.703,23.44,15.00,8.44,-18.48,-2.91,-0.79,421.00
53.723,24.02,15.00,9.02,0.51,-2.72,0.53,421.53
53.743,24.02,15.00,9.02,0.31,-2.54,0.55,422.07
53.763,22.58,15.00,7.58,-28.62,-2.38,-0.74,421.33
53.782,22.58,15.00,7.58,-17.17,-2.23,-0.72,420.61
53.801,22.29,15.00,7.29,-16.41,-2.09,-0.21,420.40
53.820,22.29,15.00,7.29,-9.84,-1.95,-0.19,420.21
53.839,21.98,15.00,6.98,-12.43,-1.81,-0.18,420.03
53.859,21.66,15.00,6.66,-13.86,-1.67,-0.17,419.86
53.878,21.01,15.00,6.01,-22.00,-1.56,-0.66,419.20
53.897,20.38,15.00,5.38,-26.46,-1.45,-0.65,418.56
53.917,20.38,15.00,5.38,-15.88,-1.34,-0.38,418.17
53.937,20.06,15.00,5.06,-15.93,-1.24,-0.37,417.80
53.956,19.74,15.00,4.74,-16.29,-1.15,-0.61,417.19
53.976,19.74,15.00,4.74,-9.78,-1.05,-0.60,416.58
53.995,19.43,15.00,4.43,-12.39,-0.96,-0.60,415.98
54.014,18.79,15.00,3.79,-20.91,-0.89,-1.59,414.40
54.033,18.46,15.00,3.46,-19.49,-0.82,-1.58,412.81
54.052,18.14,15.00,3.14,-18.43,-0.76,-1.58,411.24
54.071,17.83,15.00,2.83,-17.59,-0.71,-1.57,409.67
54.090,17.51,15.00,2.51,-17.29,-0.66,-1.57,408.10
54.109,17.51,15.00,2.51,-10.37,-0.61,-0.56,407.54
54.128,17.49,15.00,2.49,-6.64,-0.56,-0.56,406.98
54.147,17.20,15.00,2.20,-10.09,-0.52,-0.55,406.43
54.167,17.19,15.00,2.19,-6.26,-0.47,-0.55,405.89
54.186,16.86,15.00,1.86,-10.70,-0.44,-0.54,405.34
54.205,16.86,15.00,1.86,-6.42,-0.40,-0.54,404.80
54.224,16.86,15.00,1.86,-3.85,-0.36,-0.04,404.77
54.244,16.56,15.00,1.56,-8.31,-0.33,-0.53,404.23
54.263,15.91,15.00,0.91,-18.67,-0.31,-1.53,402.70
54.283,15.59,15.00,0.59,-17.60,-0.30,-1.53,401.17
54.302,13.92,15.00,-1.08,-45.72,-0.32,-1.53,399.64
54.321,13.58,15.00,-1.42,-34.59,-0.35,-1.53,398.10
54.340,13.26,15.00,-1.74,-27.49,-0.38,-1.54,396.57
54.359,12.92,15.00,-2.08,-23.65,-0.42,-1.54,395.03
54.378,12.58,15.00,-2.42,-21.35,-0.46,-3.05,391.98
54.397,12.26,15.00,-2.74,-19.55,-0.51,-3.05,388.93
54.416,10.95,15.00,-4.05,-39.31,-0.59,-3.06,385.87
54.436,10.95,15.00,-4.05,-23.58,-0.67,-3.07,382.80
54.455,10.93,15.00,-4.07,-14.57,-0.75,-1.57,381.23
54.474,10.93,15.00,-4.07,-8.74,-0.82,-1.58,379.64
54.493,10.93,15.00,-4.07,-5.25,-0.90,-1.59,378.06
54.512,10.93,15.00,-4.07,-3.15,-0.97,-0.60,377.46
54.532,10.27,15.00,-4.73,-15.09,-1.06,-1.61,375.85
54.552,8.94,15.00,-6.06,-35.65,-1.18,-6.12,369.73
54.571,8.94,15.00,-6.06,-21.39,-1.30,-6.13,363.60
54.590,8.62,15.00,-6.38,-19.57,-1.41,-6.14,357.46
54.610,8.62,15.00,-6.38,-11.74,-1.54,-3.15,354.31
54.629,8.26,15.00,-6.74,-14.62,-1.66,-3.17,351.14
54.648,7.33,15.00,-7.67,-28.35,-1.81,-6.18,344.96
54.667,7.02,15.00,-7.98,-23.54,-1.95,-6.20,338.77
54.686,6.38,15.00,-8.62,-27.60,-2.11,-6.21,332.56
54.705,5.12,15.00,-9.88,-43.08,-2.30,-6.23,326.33
54.724,4.79,15.00,-10.21,-32.80,-2.30,-6.23,320.10
54.743,3.55,15.00,-11.45,-45.78,-2.30,-6.23,313.87
54.762,3.55,15.00,-11.45,-27.47,-2.30,-6.23,307.64
54.781,3.55,15.00,-11.45,-16.48,-2.30,-6.23,301.41
