tiempo,distancia,setpoint,error,derivada,integral,delta_pwm,pwm
212.651,11.27,15.00,-3.73,2.59,-1.24,-0.07,275.25
212.671,11.27,15.00,-3.73,1.55,-1.31,-0.19,275.07
212.691,11.27,15.00,-3.73,0.93,-1.38,-0.26,275.00
212.711,13.26,15.00,-1.74,40.36,-1.38,2.44,277.44
212.731,13.26,15.00,-1.74,24.22,-1.41,2.48,279.92
212.751,13.26,15.00,-1.74,14.53,-1.45,1.20,281.13
212.771,13.26,15.00,-1.74,8.72,-1.48,0.73,281.86
212.790,13.26,15.00,-1.74,5.23,-1.51,0.31,282.17
212.811,11.25,15.00,-3.75,-35.15,-1.58,-3.17,279.00
212.830,11.25,15.00,-3.75,-21.09,-1.65,-3.00,276.00
212.850,11.25,15.00,-3.75,-12.65,-1.72,-2.03,275.00
212.870,10.93,15.00,-4.07,-13.99,-1.72,-2.38,275.00
212.890,10.95,15.00,-4.05,-8.00,-1.72,-1.88,275.00
212.910,10.95,15.00,-4.05,-4.80,-1.71,-1.18,275.00
212.930,10.95,15.00,-4.05,-2.88,-1.71,-0.80,275.00
212.950,10.93,15.00,-4.07,-2.13,-1.71,-0.68,275.00
212.970,10.95,15.00,-4.05,-0.88,-1.70,-0.50,275.00
212.990,10.93,15.00,-4.07,-0.93,-1.70,-0.51,275.00
213.009,10.95,15.00,-4.05,-0.13,-1.70,-0.42,275.00
213.030,10.95,15.00,-4.05,-0.08,-1.69,-0.41,275.00
213.049,10.95,15.00,-4.05,-0.05,-1.69,-0.41,275.00
213.069,10.95,15.00,-4.05,-0.03,-1.69,-0.41,275.00
213.089,10.95,15.00,-4.05,-0.02,-1.68,-0.40,275.00
213.109,10.93,15.00,-4.07,-0.41,-1.68,-0.45,275.00
213.129,10.93,15.00,-4.07,-0.25,-1.68,-0.43,275.00
213.149,10.93,15.00,-4.07,-0.15,-1.67,-0.42,275.00
213.169,10.93,15.00,-4.07,-0.09,-1.67,-0.41,275.00
213.189,10.93,15.00,-4.07,-0.05,-1.67,-0.41,275.00
213.209,10.93,15.00,-4.07,-0.03,-1.66,-0.40,275.00
213.229,10.93,15.00,-4.07,-0.02,-1.66,-0.40,275.00
213.249,10.93,15.00,-4.07,-0.01,-1.66,-0.40,275.00
213.268,10.93,15.00,-4.07,-0.01,-1.65,-0.40,275.00
213.289,10.95,15.00,-4.05,0.38,-1.65,-0.36,275.00
213.308,10.95,15.00,-4.05,0.23,-1.65,-0.37,275.00
213.328,10.95,15.00,-4.05,0.14,-1.64,-0.38,275.00
213.348,10.93,15.00,-4.07,-0.32,-1.64,-0.43,275.00
213.368,10.93,15.00,-4.07,-0.19,-1.64,-0.42,275.00
213.388,10.93,15.00,-4.07,-0.11,-1.63,-0.41,275.00
213.408,10.93,15.00,-4.07,-0.07,-1.63,-0.41,275.00
213.428,10.93,15.00,-4.07,-0.04,-1.63,-0.40,275.00
