tiempo,distancia,setpoint,error,derivada,integral,delta_pwm,pwm
91.762,18.16,15.00,3.16,4.42,-2.47,0.94,308.98
91.783,18.16,15.00,3.16,2.65,-2.40,0.71,309.69
91.802,17.51,15.00,2.51,-12.09,-2.34,-0.94,308.76
91.822,17.51,15.00,2.51,-7.26,-2.29,-0.57,308.18
91.841,17.51,15.00,2.51,-4.35,-2.24,-0.19,308.00
91.861,17.20,15.00,2.20,-8.81,-2.19,-0.80,307.19
91.881,17.20,15.00,2.20,-5.29,-2.14,-0.21,306.98
91.900,16.56,15.00,1.56,-16.65,-2.11,-1.33,305.65
91.920,16.56,15.00,1.56,-9.99,-2.07,-0.97,304.68
91.939,16.56,15.00,1.56,-5.99,-2.04,-0.18,304.50
91.959,16.86,15.00,1.86,2.40,-2.00,0.23,304.73
91.978,16.88,15.00,1.88,1.86,-1.96,0.26,304.99
91.998,16.88,15.00,1.88,1.12,-1.91,0.28,305.27
92.017,16.88,15.00,1.88,0.67,-1.88,0.22,305.49
92.042,17.19,15.00,2.19,5.36,-1.82,0.68,306.17
92.062,16.88,15.00,1.88,-2.98,-1.78,0.03,306.20
92.081,16.88,15.00,1.88,-1.79,-1.74,0.04,306.23
92.101,17.19,15.00,2.19,5.13,-1.69,0.65,306.89
92.120,17.19,15.00,2.19,3.08,-1.64,0.37,307.26
92.140,17.19,15.00,2.19,1.85,-1.60,0.43,307.68
92.159,16.86,15.00,1.86,-5.84,-1.56,-0.17,307.52
92.179,16.86,15.00,1.86,-3.50,-1.52,0.00,307.52
92.199,17.19,15.00,2.19,4.50,-1.47,0.57,308.09
92.218,17.51,15.00,2.51,9.44,-1.42,1.43,309.51
92.238,17.51,15.00,2.51,5.66,-1.37,0.86,310.38
92.258,17.51,15.00,2.51,3.40,-1.32,0.54,310.92
92.277,17.19,15.00,2.19,-4.70,-1.27,-0.11,310.81
92.297,17.19,15.00,2.19,-2.82,-1.23,0.07,310.88
92.317,16.88,15.00,1.88,-7.89,-1.19,-0.43,310.45
92.337,16.58,15.00,1.58,-10.73,-1.15,-0.91,309.55
92.357,16.58,15.00,1.58,-6.44,-1.12,-0.22,309.33
92.376,16.58,15.00,1.58,-3.86,-1.09,-0.08,309.25
92.396,16.58,15.00,1.58,-2.32,-1.05,-0.02,309.23
92.416,16.58,15.00,1.58,-1.39,-1.02,0.00,309.23
92.436,16.56,15.00,1.56,-1.23,-0.98,0.03,309.26
92.455,16.24,15.00,1.24,-7.48,-0.96,-0.34,308.92
92.475,16.24,15.00,1.24,-4.49,-0.93,-0.14,308.78
92.496,15.93,15.00,0.93,-8.60,-0.91,-0.58,308.19
92.515,15.93,15.00,0.93,-5.16,-0.89,-0.20,308.00
92.535,16.24,15.00,1.24,3.11,-0.87,-0.11,307.89
92.554,16.24,15.00,1.24,1.86,-0.84,-0.14,307.74
92.574,15.91,15.00,0.91,-5.48,-0.82,-0.22,307.52
92.594,15.61,15.00,0.61,-9.29,-0.81,-0.76,306.75
92.614,15.59,15.00,0.59,-5.97,-0.79,-0.30,306.46
92.633,15.59,15.00,0.59,-3.58,-0.78,-0.18,306.28
92.653,15.25,15.00,0.25,-8.95,-0.77,-0.76,305.52
