tiempo,distancia,setpoint,error,derivada,integral,delta_pwm,pwm
82.140,11.93,15.00,-3.07,-7.11,-2.13,-1.28,275.00
82.161,11.93,15.00,-3.07,-4.26,-2.13,-0.81,275.00
82.181,11.92,15.00,-3.08,-2.76,-2.12,-0.63,275.00
82.202,11.92,15.00,-3.08,-1.66,-2.12,-0.53,275.00
82.222,10.93,15.00,-4.07,-20.79,-2.11,-3.69,275.00
82.241,10.93,15.00,-4.07,-12.48,-2.11,-2.71,275.00
82.262,10.61,15.00,-4.39,-13.58,-2.10,-3.07,275.00
82.282,10.61,15.00,-4.39,-8.15,-2.10,-1.99,275.00
82.303,10.27,15.00,-4.73,-11.37,-2.10,-2.84,275.00
82.323,10.27,15.00,-4.73,-6.82,-2.09,-1.79,275.00
82.342,10.27,15.00,-4.73,-4.09,-2.09,-1.09,275.00
82.362,10.27,15.00,-4.73,-2.45,-2.08,-0.78,275.00
82.383,9.95,15.00,-5.05,-7.57,-2.08,-2.11,275.00
82.403,9.61,15.00,-5.39,-11.34,-2.07,-3.15,275.00
82.422,9.61,15.00,-5.39,-6.80,-2.07,-2.05,275.00
82.442,9.61,15.00,-5.39,-4.08,-2.07,-1.26,275.00
82.463,9.61,15.00,-5.39,-2.45,-2.06,-0.89,275.00
82.484,9.61,15.00,-5.39,-1.47,-2.06,-0.73,275.00
82.504,9.95,15.00,-5.05,5.92,-2.05,0.08,275.08
82.523,9.95,15.00,-5.05,3.55,-2.15,-0.18,275.00
82.543,9.95,15.00,-5.05,2.13,-2.14,-0.32,275.00
82.562,9.95,15.00,-5.05,1.28,-2.14,-0.40,275.00
82.582,9.95,15.00,-5.05,0.77,-2.13,-0.45,275.00
82.601,9.28,15.00,-5.72,-13.65,-2.13,-3.76,275.00
82.622,9.28,15.00,-5.72,-8.19,-2.12,-2.58,275.00
82.642,9.28,15.00,-5.72,-4.91,-2.12,-1.62,275.00
82.662,9.28,15.00,-5.72,-2.95,-2.12,-1.07,275.00
