tiempo,distancia,velocidad,setpoint,error,pwm,accion,q_max
151.485,12.41,9.46,15.00,-2.59,275,0,103.22
151.589,12.39,-0.16,15.00,-2.61,275,0,103.07
151.695,12.67,2.67,15.00,-2.33,275,0,104.23
151.799,12.32,-3.28,15.00,-2.68,275,0,102.71
151.902,11.89,-4.18,15.00,-3.11,275,0,100.99
152.009,12.48,5.72,15.00,-2.52,275,0,103.54
152.112,13.17,6.45,15.00,-1.83,275,0,106.19
152.215,12.62,-5.31,15.00,-2.38,275,0,103.82
152.322,11.51,-10.78,15.00,-3.49,275,0,99.33
152.425,10.95,-5.26,15.00,-4.05,275,0,97.88
152.528,10.73,-2.08,15.00,-4.27,275,0,97.53
152.634,10.26,-4.62,15.00,-4.74,275,0,96.61
152.737,10.09,-1.55,15.00,-4.91,275,0,96.24
152.840,10.10,0.10,15.00,-4.90,275,0,96.25
152.946,9.67,-4.20,15.00,-5.33,275,0,95.05
153.049,9.62,-0.45,15.00,-5.38,275,0,95.05
153.152,9.38,-2.41,15.00,-5.62,275,0,94.10
153.258,9.11,-2.60,15.00,-5.89,275,0,93.16
153.361,9.18,0.63,15.00,-5.82,275,0,93.54
153.464,9.32,1.40,15.00,-5.68,275,0,94.08
153.570,8.91,-4.03,15.00,-6.09,275,0,92.32
153.672,8.31,-5.58,15.00,-6.69,275,0,89.46
153.775,7.74,-5.58,15.00,-7.26,275,0,86.77
153.881,8.24,4.89,15.00,-6.76,275,0,89.65
153.984,8.32,0.75,15.00,-6.68,275,0,89.81
154.086,8.70,3.70,15.00,-6.30,275,0,91.73
154.193,8.93,2.26,15.00,-6.07,275,0,92.74
154.295,9.06,1.26,15.00,-5.94,275,0,93.16
154.398,9.14,0.78,15.00,-5.86,275,0,93.42
154.504,8.85,-2.80,15.00,-6.15,275,0,92.14
154.607,9.17,3.03,15.00,-5.83,275,0,93.64
154.710,9.10,-0.73,15.00,-5.90,275,0,93.20
154.816,8.94,-1.52,15.00,-6.06,275,0,92.63
154.919,9.64,6.51,15.00,-5.36,275,0,95.16
155.021,9.38,-2.56,15.00,-5.62,275,0,94.10
155.128,8.89,-4.79,15.00,-6.11,275,0,92.19
155.230,9.38,4.65,15.00,-5.62,275,0,94.43
155.333,8.93,-4.32,15.00,-6.07,275,0,92.44
155.439,9.41,4.60,15.00,-5.59,275,0,94.53
155.542,9.69,2.68,15.00,-5.31,275,0,95.31
155.645,10.20,4.92,15.00,-4.80,275,0,96.42
155.752,10.84,6.22,15.00,-4.16,275,0,97.85
155.855,11.74,8.40,15.00,-3.26,275,0,100.65
155.958,12.84,10.70,15.00,-2.16,275,0,104.88
156.065,14.17,12.82,15.00,-0.83,275,0,107.45
156.169,14.97,7.48,15.00,-0.03,410,2,107.55
156.273,15.47,4.75,15.00,0.47,410,2,104.93
156.380,15.98,4.94,15.00,0.98,490,3,103.34
156.484,16.44,4.29,15.00,1.44,490,3,103.33
156.588,16.27,-1.63,15.00,1.27,490,3,103.20
156.695,15.89,-3.61,15.00,0.89,490,3,103.33
156.799,15.33,-5.26,15.00,0.33,410,2,106.43
156.902,14.14,-11.50,15.00,-0.86,330,1,107.13
157.009,12.42,-16.76,15.00,-2.58,275,0,102.70
157.111,10.19,-20.97,15.00,-4.81,275,0,95.85
157.213,7.34,-27.94,15.00,-7.66,275,0,83.76
157.319,6.81,-5.00,15.00,-8.19,275,0,82.46
157.421,5.82,-9.71,15.00,-9.18,275,0,77.40
157.528,6.58,7.35,15.00,-8.42,275,0,82.00
157.630,7.88,12.25,15.00,-7.12,275,0,88.32
157.732,7.03,-8.37,15.00,-7.97,275,0,83.28
157.839,6.96,-0.64,15.00,-8.04,275,0,83.36
157.941,7.43,4.48,15.00,-7.57,275,0,85.85
158.044,7.55,1.10,15.00,-7.45,275,0,86.21
158.150,8.35,7.86,15.00,-6.65,275,0,90.32
158.253,9.06,6.61,15.00,-5.94,275,0,93.39
158.356,10.67,15.64,15.00,-4.33,275,0,97.45
158.463,11.24,5.52,15.00,-3.76,275,0,98.73
158.566,12.20,8.96,15.00,-2.80,275,0,102.41
158.670,12.77,5.58,15.00,-2.23,275,0,104.68
158.777,13.23,4.37,15.00,-1.77,275,0,106.46
158.880,13.84,5.76,15.00,-1.16,275,0,107.49
158.984,14.21,3.55,15.00,-0.79,330,1,107.31
159.091,14.32,1.09,15.00,-0.68,330,1,107.39
159.195,14.39,0.63,15.00,-0.61,330,1,107.44
159.298,14.66,2.56,15.00,-0.34,330,1,107.20
159.405,14.26,-3.87,15.00,-0.74,330,1,107.34
159.509,13.50,-7.13,15.00,-1.50,275,0,106.85
