tiempo,distancia,setpoint,error,pwm,accion,recompensa,epsilon
119.916,10.50,15.00,-4.50,490,3,-7.43,0.00
120.153,9.64,15.00,-5.36,330,1,-9.29,0.00
120.389,6.91,15.00,-8.09,275,0,-13.74,0.00
120.626,5.56,15.00,-9.44,275,0,-12.49,0.00
120.863,5.97,15.00,-9.03,275,0,-14.02,0.00
121.100,5.76,15.00,-9.24,275,0,-13.11,0.00
121.338,6.83,15.00,-8.17,275,0,-11.41,0.00
121.577,7.95,15.00,-7.05,275,0,-8.96,0.00
121.816,9.44,15.00,-5.56,330,1,-7.92,0.00
122.054,11.66,15.00,-3.34,490,3,-4.95,0.00
122.292,11.49,15.00,-3.51,490,3,-6.52,0.00
122.529,9.27,15.00,-5.73,330,1,-10.31,0.00
122.767,7.50,15.00,-7.50,275,0,-10.33,0.00
123.004,8.63,15.00,-6.37,330,1,-10.60,0.00
123.241,7.87,15.00,-7.13,275,0,-12.28,0.00
123.477,5.91,15.00,-9.09,275,0,-14.47,0.00
123.714,5.05,15.00,-9.95,275,0,-14.58,0.00
123.952,5.93,15.00,-9.07,275,0,-11.98,0.00
124.189,7.14,15.00,-7.86,275,0,-11.34,0.00
124.427,7.52,15.00,-7.48,275,0,-11.13,0.00
124.664,7.75,15.00,-7.25,275,0,-10.70,0.00
124.902,8.30,15.00,-6.70,330,1,-9.87,0.00
125.140,8.51,15.00,-6.49,330,1,-9.65,0.00
125.377,8.23,15.00,-6.77,330,1,-10.51,0.00
125.615,7.74,15.00,-7.26,275,0,-11.41,0.00
125.851,6.65,15.00,-8.35,275,0,-13.57,0.00
126.088,5.63,15.00,-9.37,275,0,-14.38,0.00
126.325,5.18,15.00,-9.82,275,0,-25.00,0.00
126.561,4.92,15.00,-10.08,275,0,-25.00,0.00
126.798,5.53,15.00,-9.47,275,0,-13.61,0.00
127.036,6.38,15.00,-8.62,275,0,-12.01,0.00
127.274,7.59,15.00,-7.41,275,0,-9.98,0.00
127.513,9.77,15.00,-5.23,330,1,-6.11,0.00
127.751,11.53,15.00,-3.47,490,3,0.50,0.00
127.990,12.51,15.00,-2.49,330,1,0.50,0.00
128.227,11.16,15.00,-3.84,490,3,-7.82,0.00
128.466,9.08,15.00,-5.92,330,1,-10.26,0.00
128.703,7.18,15.00,-7.82,275,0,-12.75,0.00
128.940,5.85,15.00,-9.15,275,0,-11.56,0.00
129.177,6.19,15.00,-8.81,275,0,-14.05,0.00
129.413,5.50,15.00,-9.50,275,0,-14.28,0.00
129.651,6.36,15.00,-8.64,275,0,-12.72,0.00
129.888,7.01,15.00,-7.99,275,0,-11.92,0.00
130.125,6.58,15.00,-8.42,275,0,-12.37,0.00
130.362,6.87,15.00,-8.13,275,0,-12.32,0.00
130.600,6.89,15.00,-8.11,275,0,-12.17,0.00
130.837,7.05,15.00,-7.95,275,0,-11.76,0.00
131.075,7.49,15.00,-7.51,275,0,-10.97,0.00
131.312,7.62,15.00,-7.38,275,0,-11.03,0.00
131.550,7.88,15.00,-7.12,275,0,-10.56,0.00
131.788,8.18,15.00,-6.82,330,1,-9.61,0.00
132.026,8.96,15.00,-6.04,330,1,-8.41,0.00
132.264,9.61,15.00,-5.39,330,1,-8.11,0.00
132.501,9.41,15.00,-5.59,330,1,-8.82,0.00
132.739,8.91,15.00,-6.09,330,1,-9.92,0.00
132.976,8.10,15.00,-6.90,330,1,-11.54,0.00
133.213,7.81,15.00,-7.19,275,0,-11.84,0.00
133.450,6.19,15.00,-8.81,275,0,-13.80,0.00
